TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,3078092874,1473809
1p80LdxRV74UKvL8gnD7ky,2204062524,1015772
55n9yjI6qqXh5F2mYvUc2y,1976137365,642064
0V3wPSX9ygBnCm8psDIegu,1901723919,526271
1dGr1c8CrMLDpV6mPbImSI,1868546890,993851
4R2kfaDFhslZEMJqAFNpdd,1770867265,1329829
5xTtaWoae3wi06K5WfVUUH,1722150324,758735
3hUxzQpSfdDqwM3ZTFQY0K,1609997377,1253321
4lIxdJw6W3Fg4vUIYCB0S5,1517983556,1017268
1R0a2iXumgCiFb7HEZ7gUE,1475563014,671218
1P17dC1amhFzptugyAO7Il,1364835724,367228
6NFyWDv5CjfwuzoCkw47Xf,1223475547,645883
59HjlYCeBsxdI0fcm3zglw,1103757314,313509
5enxwA8aAbwZbf5qCHORXi,1090163719,578223
6RRNNciQGZEXnqk8SQ9yv5,1089394218,270238
6YvqWjhGD8mB5QXcbcUKtx,1066230035,636658
1vrd6UOGamcKNGnSHJQlSt,1042518928,401503
2gVhfX2Gy1T9kDuS9azrF7,1024258099,316665
2OzhQlSqBEmt7hmkYxfT6m,1023147172,833423
2o2IVjuqRkR9hJxtPjtAP0,1011951648,479893
4pvb0WLRcMtbPGmtejJJ6y,977676527,619924
1qrpoAMXodY6895hGKoUpA,970612346,783523
7KokYm8cMIXCsGVmUvKtqf,960089988,313876
3RauEVgRgj1IuWdJ9fDs70,956641287,265374
5lg33MHs1BoUtJVClw8ZpI,955526755,313204
2Rk4JlNc2TPmZe2af99d45,950994798,155410
2yLa0QULdQr0qAIvVwN6B5,946053500,440906
1K39ty6o1sHwwlZwO6a7wK,942899147,429568
5jQI2r1RdgtuT8S3iG8zFC,849247115,234156
0VE4kBnHJUgtMf0dy6DRmW,842302980,471343
3rWDp9tBPQR9z6U5YyRSK4,804573294,278556
4y5bvROuBDPr5fuwXbIBZR,787278565,270788
4D7BCuvgdJlYvlX5WlN54t,782878151,522790
1gcyHQpBQ1lfXGdhZmWrHP,771956072,276906
7AEAGTc8cReDqcbPoY9gwo,761101789,241799
3GCL1PydwsLodcpv0Ll1ch,760554627,313379
1MgV7FIyNxIG7WzMRJV5HC,744121997,540166
4q5YezDOIPcoLr8R81x9qy,721376238,602308
0Jlcvv8IykzHaSmj49uNW8,709610272,478385
1ZY1PqizIl78geGM4xWlEA,708198749,219835
273dCMFseLcVsoSWx59IoE,696837946,265166
3qoftcUZaUOncvIYjFSPdE,672804626,228831
1fzAuUVbzlhZ1lJAx9PtY6,608891170,690076
2x0WlnmfG39ZuDmstl9xfX,592188264,206033
3eX0NZfLtGzoLUxPNvRfqm,565094931,230116
2NmsngXHeC1GQ9wWrzhOMf,564396469,251794
1Iq8oo9XkmmvCQiGOfORiz,549153642,217298
4svZDCRz4cJoneBpjpx8DJ,546093444,184053
22bPsP2jCgbLUvh82U0Z3M,536409247,409162
0ZNU020wNYvgW84iljPkPP,533025043,232900
7kt9e9LFSpN1zQtYEl19o1,524941021,269542
1GwMQaZz6Au3QLDbjbMdme,523458011,422593
3pHkh7d0lzM2AldUtz2x37,512676447,215689
214nt20w5wOxJnY462klLw,509463481,207876
1wtOxkiel43cVs0Yux5Q4h,498722913,139386
1xwAWUI6Dj0WGC3KiUPN0O,489942929,124587
0W0iAC1VGlB82PI6elxFYf,482372768,425035
6VsvKPJ4xjVNKpI8VVZ3SV,478521410,272328
1SymEzIT3H8UZfibCs3TYi,477133233,205815
6AtZLIzUINvExIUy4QhdjP,476250656,137318
2F3N9tdombb64aW6VtZOdo,469165158,264409
3DrjZArsPsoqbLzUZZV1Id,465112411,234449
3sW3oSbzsfecv9XoUdGs7h,457206517,355519
17yraMKqmZIKAv3iaGcoLX,456308086,162521
5YqltLsjdqFtvqE7Nrysvs,451603347,149713
3zwMVvkBe2qIKDObWgXw4N,450612648,277647
