TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,3083545006,1413385
1p80LdxRV74UKvL8gnD7ky,2207966575,1029023
55n9yjI6qqXh5F2mYvUc2y,1978824893,705769
0V3wPSX9ygBnCm8psDIegu,1903748761,538918
1dGr1c8CrMLDpV6mPbImSI,1872418682,925530
4R2kfaDFhslZEMJqAFNpdd,1776400885,1444082
5xTtaWoae3wi06K5WfVUUH,1724925291,720721
3hUxzQpSfdDqwM3ZTFQY0K,1615042546,1367964
4lIxdJw6W3Fg4vUIYCB0S5,1522080003,1026594
1R0a2iXumgCiFb7HEZ7gUE,1478260421,670502
1P17dC1amhFzptugyAO7Il,1366224830,351176
6NFyWDv5CjfwuzoCkw47Xf,1225897463,587548
59HjlYCeBsxdI0fcm3zglw,1105129918,349890
5enxwA8aAbwZbf5qCHORXi,1092563387,636216
6RRNNciQGZEXnqk8SQ9yv5,1090395193,264233
6YvqWjhGD8mB5QXcbcUKtx,1068677329,638164
1vrd6UOGamcKNGnSHJQlSt,1044010252,388245
2OzhQlSqBEmt7hmkYxfT6m,1026096803,753828
2gVhfX2Gy1T9kDuS9azrF7,1025642375,353546
2o2IVjuqRkR9hJxtPjtAP0,1013742242,453323
4pvb0WLRcMtbPGmtejJJ6y,980397186,684144
1qrpoAMXodY6895hGKoUpA,973733923,758106
7KokYm8cMIXCsGVmUvKtqf,961304863,312156
3RauEVgRgj1IuWdJ9fDs70,957707332,283925
5lg33MHs1BoUtJVClw8ZpI,956773618,316143
2Rk4JlNc2TPmZe2af99d45,951586202,165546
2yLa0QULdQr0qAIvVwN6B5,947780666,444576
1K39ty6o1sHwwlZwO6a7wK,944527322,423515
5jQI2r1RdgtuT8S3iG8zFC,850207162,248491
0VE4kBnHJUgtMf0dy6DRmW,844186069,468189
3rWDp9tBPQR9z6U5YyRSK4,805756138,305277
4y5bvROuBDPr5fuwXbIBZR,788383644,292906
4D7BCuvgdJlYvlX5WlN54t,785055395,580812
1gcyHQpBQ1lfXGdhZmWrHP,773208069,325116
7AEAGTc8cReDqcbPoY9gwo,762043594,238558
3GCL1PydwsLodcpv0Ll1ch,761749544,303270
1MgV7FIyNxIG7WzMRJV5HC,746427161,607806
4q5YezDOIPcoLr8R81x9qy,723448090,520702
0Jlcvv8IykzHaSmj49uNW8,711538390,465503
1ZY1PqizIl78geGM4xWlEA,709066162,221665
273dCMFseLcVsoSWx59IoE,697857444,254568
3qoftcUZaUOncvIYjFSPdE,673684308,225650
1fzAuUVbzlhZ1lJAx9PtY6,611626201,696840
2x0WlnmfG39ZuDmstl9xfX,592998817,202665
3eX0NZfLtGzoLUxPNvRfqm,566038764,250385
2NmsngXHeC1GQ9wWrzhOMf,565509713,288628
1Iq8oo9XkmmvCQiGOfORiz,549988799,207634
4svZDCRz4cJoneBpjpx8DJ,546857006,198415
22bPsP2jCgbLUvh82U0Z3M,538022095,408580
0ZNU020wNYvgW84iljPkPP,534106294,283779
7kt9e9LFSpN1zQtYEl19o1,526161709,341591
1GwMQaZz6Au3QLDbjbMdme,525026182,382439
3pHkh7d0lzM2AldUtz2x37,513626124,256973
214nt20w5wOxJnY462klLw,510271769,213888
1wtOxkiel43cVs0Yux5Q4h,499300286,151337
1xwAWUI6Dj0WGC3KiUPN0O,490451924,133598
0W0iAC1VGlB82PI6elxFYf,484077764,427582
6VsvKPJ4xjVNKpI8VVZ3SV,479817342,352116
1SymEzIT3H8UZfibCs3TYi,477984726,219269
6AtZLIzUINvExIUy4QhdjP,476815785,146246
2F3N9tdombb64aW6VtZOdo,470240692,280934
3DrjZArsPsoqbLzUZZV1Id,465999435,226108
3sW3oSbzsfecv9XoUdGs7h,458521758,331143
17yraMKqmZIKAv3iaGcoLX,456987307,173024
6oVxXO5oQ4pTpO8RSnkzvv,455914767,1445236
5YqltLsjdqFtvqE7Nrysvs,452213298,154883
3zwMVvkBe2qIKDObWgXw4N,451870553,343155
2CYVETnhM9aytqrazYYwrK,447282363,152376
2P5gfMtCcKP0CkmgqFMyPg,443218302,117154
2Eeur20xVqfUoM3Q7EFPFt,436107270,165684
5kI4eCXXzyuIUXjQra0Cxi,433755710,137178
7FmYn9e7KHMXcxqGSj9LjH,433261040,159258
7qGr3rjRhndRIpFUA5f2HJ,432545843,174481
77sMIMlNaSURUAXq5coCxE,426495513,213040
12M5uqx0ZuwkpLp5rJim1a,418834707,190554
1LLXZFeAHK9R4xUramtUKw,409362663,167486
71BqAINEnezjQfxE4VuJfq,406781929,235521
6lCvK2AR2uOKkVFCVlAzzm,406104906,182110
5KD6AEm19QnMbfWpfoOHMl,403105727,179169
4OAuvHryIVv4kMDNSLuPt6,397681420,420283
43rA71bccXFGD4C8GOpIlN,392873586,145126
36t6frENUtCYKuZus6aYDO,391375505,240813
3yII7UwgLF6K5zW3xad3MP,385861612,174128
6KJqZcs9XDgVck7Lg9QOTC,383692183,165284
3Vevii7qKqrmW8CcyzBHDl,381305823,251267
1hjRhYpWyqDpPahmSlUTlc,374912557,212750
0A1JLUlkZkp2EFrosoNQi0,363039632,201837
2XXwLdtuAcE0HSCu61ijAb,359696050,219386
2VuqMjgoKaOHNM8HpxtXKx,354337367,141163
5OndtwLGA9O6XHFcGm2H7r,350990873,117940
2dgFqt3w9xIQRjhPtwNk3D,350603537,133886
3CWq0pAKKTWb0K4yiglDc4,347809121,314768
0heeNYlwOGuUSe7TgUD27B,347093851,91613
3nsfB1vus2qaloUdcBZvDu,346123545,234164
0wavGRldH0AWyu2zvTz8zb,344495327,167001
7HuBDWi18s4aJM8UFnNheH,343844314,188458
3Dby3p1m6IOZn2gIIqECgK,342338822,109617
5og4Qzt92jJzVDkOtSEilb,341136122,218646
4txojlesMFQZGWxwz2EeqB,340635770,141326
5QVVjX0ZItqlVpEuVCM9Yg,335836797,304562
7Mts0OfPorF4iwOomvfqn1,333446046,469296
6uwfVkaOM1mcMkFmSn35ix,332060669,106728
2YWtcWi3a83pdEg3Gif4Pd,330865159,108671
5hQSXkFgbxjZo9uCwd11so,326825277,500142
45wMBGri1PORPjM9PwFfrS,326713273,171285
5kHMfzgLZP95O9NBy0ku4v,324635893,137315
